Date:20150209, table:MarketData_10000001_SH, MaxRecordDate:0, Wind:5146
Date:20150210, table:MarketData_10000001_SH, MaxRecordDate:20150209, Wind:6122
Date:20150211, table:MarketData_10000001_SH, MaxRecordDate:20150210, Wind:4834
Date:20150212, table:MarketData_10000001_SH, MaxRecordDate:20150211, Wind:5716
Date:20150213, table:MarketData_10000001_SH, MaxRecordDate:20150212, Wind:4511
Date:20150216, table:MarketData_10000001_SH, MaxRecordDate:20150213, Wind:3801
Date:20150217, table:MarketData_10000001_SH, MaxRecordDate:20150216, Wind:3583
Date:20150225, table:MarketData_10000001_SH, MaxRecordDate:20150217, Wind:5685
Date:20150226, table:MarketData_10000001_SH, MaxRecordDate:20150225, Wind:4265
Date:20150227, table:MarketData_10000001_SH, MaxRecordDate:20150226, Wind:3600
Date:20150302, table:MarketData_10000001_SH, MaxRecordDate:20150227, Wind:3218
Date:20150303, table:MarketData_10000001_SH, MaxRecordDate:20150302, Wind:4272
Date:20150304, table:MarketData_10000001_SH, MaxRecordDate:20150303, Wind:5290
Date:20150305, table:MarketData_10000001_SH, MaxRecordDate:20150304, Wind:6294
Date:20150306, table:MarketData_10000001_SH, MaxRecordDate:20150305, Wind:6286
Date:20150309, table:MarketData_10000001_SH, MaxRecordDate:20150306, Wind:6603
Date:20150310, table:MarketData_10000001_SH, MaxRecordDate:20150309, Wind:5712
Date:20150311, table:MarketData_10000001_SH, MaxRecordDate:20150310, Wind:7039
Date:20150312, table:MarketData_10000001_SH, MaxRecordDate:20150311, Wind:8932
Date:20150313, table:MarketData_10000001_SH, MaxRecordDate:20150312, Wind:6420
Date:20150316, table:MarketData_10000001_SH, MaxRecordDate:20150313, Wind:5682
Date:20150317, table:MarketData_10000001_SH, MaxRecordDate:20150316, Wind:5763
Date:20150318, table:MarketData_10000001_SH, MaxRecordDate:20150317, Wind:3991
Date:20150319, table:MarketData_10000001_SH, MaxRecordDate:20150318, Wind:5026
Date:20150320, table:MarketData_10000001_SH, MaxRecordDate:20150319, Wind:5983
Date:20150323, table:MarketData_10000001_SH, MaxRecordDate:20150320, Wind:4855
Date:20150324, table:MarketData_10000001_SH, MaxRecordDate:20150323, Wind:4089
Date:20150325, table:MarketData_10000001_SH, MaxRecordDate:20150324, Wind:6075
Date:20150209, table:MarketData_10000002_SH, MaxRecordDate:0, Wind:3823
Date:20150210, table:MarketData_10000002_SH, MaxRecordDate:20150209, Wind:7003
Date:20150211, table:MarketData_10000002_SH, MaxRecordDate:20150210, Wind:4898
Date:20150212, table:MarketData_10000002_SH, MaxRecordDate:20150211, Wind:4676
Date:20150213, table:MarketData_10000002_SH, MaxRecordDate:20150212, Wind:3847
Date:20150216, table:MarketData_10000002_SH, MaxRecordDate:20150213, Wind:4312
Date:20150217, table:MarketData_10000002_SH, MaxRecordDate:20150216, Wind:3836
Date:20150225, table:MarketData_10000002_SH, MaxRecordDate:20150217, Wind:7656
Date:20150226, table:MarketData_10000002_SH, MaxRecordDate:20150225, Wind:4061
Date:20150227, table:MarketData_10000002_SH, MaxRecordDate:20150226, Wind:4279
Date:20150302, table:MarketData_10000002_SH, MaxRecordDate:20150227, Wind:6265
Date:20150303, table:MarketData_10000002_SH, MaxRecordDate:20150302, Wind:3932
Date:20150304, table:MarketData_10000002_SH, MaxRecordDate:20150303, Wind:5937
Date:20150305, table:MarketData_10000002_SH, MaxRecordDate:20150304, Wind:7865
Date:20150306, table:MarketData_10000002_SH, MaxRecordDate:20150305, Wind:7273
Date:20150309, table:MarketData_10000002_SH, MaxRecordDate:20150306, Wind:8534
Date:20150310, table:MarketData_10000002_SH, MaxRecordDate:20150309, Wind:6208
Date:20150311, table:MarketData_10000002_SH, MaxRecordDate:20150310, Wind:8022
Date:20150312, table:MarketData_10000002_SH, MaxRecordDate:20150311, Wind:8919
Date:20150313, table:MarketData_10000002_SH, MaxRecordDate:20150312, Wind:6973
Date:20150316, table:MarketData_10000002_SH, MaxRecordDate:20150313, Wind:5160
Date:20150317, table:MarketData_10000002_SH, MaxRecordDate:20150316, Wind:2959
Date:20150318, table:MarketData_10000002_SH, MaxRecordDate:20150317, Wind:6070
Date:20150319, table:MarketData_10000002_SH, MaxRecordDate:20150318, Wind:5121
Date:20150320, table:MarketData_10000002_SH, MaxRecordDate:20150319, Wind:5912
Date:20150323, table:MarketData_10000002_SH, MaxRecordDate:20150320, Wind:4369
Date:20150324, table:MarketData_10000002_SH, MaxRecordDate:20150323, Wind:5119
Date:20150325, table:MarketData_10000002_SH, MaxRecordDate:20150324, Wind:7251
Date:20150209, table:MarketData_10000003_SH, MaxRecordDate:0, Wind:4111
Date:20150210, table:MarketData_10000003_SH, MaxRecordDate:20150209, Wind:7067
Date:20150211, table:MarketData_10000003_SH, MaxRecordDate:20150210, Wind:6775
Date:20150212, table:MarketData_10000003_SH, MaxRecordDate:20150211, Wind:5404
Date:20150213, table:MarketData_10000003_SH, MaxRecordDate:20150212, Wind:5072
Date:20150216, table:MarketData_10000003_SH, MaxRecordDate:20150213, Wind:4791
Date:20150217, table:MarketData_10000003_SH, MaxRecordDate:20150216, Wind:5053
Date:20150225, table:MarketData_10000003_SH, MaxRecordDate:20150217, Wind:3394
Date:20150226, table:MarketData_10000003_SH, MaxRecordDate:20150225, Wind:4239
Date:20150227, table:MarketData_10000003_SH, MaxRecordDate:20150226, Wind:4312
Date:20150302, table:MarketData_10000003_SH, MaxRecordDate:20150227, Wind:5134
Date:20150303, table:MarketData_10000003_SH, MaxRecordDate:20150302, Wind:6266
Date:20150304, table:MarketData_10000003_SH, MaxRecordDate:20150303, Wind:5659
Date:20150305, table:MarketData_10000003_SH, MaxRecordDate:20150304, Wind:8045
Date:20150306, table:MarketData_10000003_SH, MaxRecordDate:20150305, Wind:6335
Date:20150309, table:MarketData_10000003_SH, MaxRecordDate:20150306, Wind:7209
Date:20150310, table:MarketData_10000003_SH, MaxRecordDate:20150309, Wind:7213
Date:20150311, table:MarketData_10000003_SH, MaxRecordDate:20150310, Wind:8994
Date:20150312, table:MarketData_10000003_SH, MaxRecordDate:20150311, Wind:8080
Date:20150313, table:MarketData_10000003_SH, MaxRecordDate:20150312, Wind:6325
Date:20150316, table:MarketData_10000003_SH, MaxRecordDate:20150313, Wind:7881
Date:20150317, table:MarketData_10000003_SH, MaxRecordDate:20150316, Wind:6148
Date:20150318, table:MarketData_10000003_SH, MaxRecordDate:20150317, Wind:6354
Date:20150319, table:MarketData_10000003_SH, MaxRecordDate:20150318, Wind:5742
Date:20150320, table:MarketData_10000003_SH, MaxRecordDate:20150319, Wind:7215
Date:20150323, table:MarketData_10000003_SH, MaxRecordDate:20150320, Wind:4197
Date:20150324, table:MarketData_10000003_SH, MaxRecordDate:20150323, Wind:5862
Date:20150325, table:MarketData_10000003_SH, MaxRecordDate:20150324, Wind:7815
Date:20150209, table:MarketData_10000004_SH, MaxRecordDate:0, Wind:4021
Date:20150210, table:MarketData_10000004_SH, MaxRecordDate:20150209, Wind:7622
Date:20150211, table:MarketData_10000004_SH, MaxRecordDate:20150210, Wind:6260
Date:20150212, table:MarketData_10000004_SH, MaxRecordDate:20150211, Wind:5467
Date:20150213, table:MarketData_10000004_SH, MaxRecordDate:20150212, Wind:5340
Date:20150216, table:MarketData_10000004_SH, MaxRecordDate:20150213, Wind:5593
Date:20150217, table:MarketData_10000004_SH, MaxRecordDate:20150216, Wind:4709
Date:20150225, table:MarketData_10000004_SH, MaxRecordDate:20150217, Wind:4228
Date:20150226, table:MarketData_10000004_SH, MaxRecordDate:20150225, Wind:5109
Date:20150227, table:MarketData_10000004_SH, MaxRecordDate:20150226, Wind:4580
Date:20150302, table:MarketData_10000004_SH, MaxRecordDate:20150227, Wind:5527
Date:20150303, table:MarketData_10000004_SH, MaxRecordDate:20150302, Wind:5570
Date:20150304, table:MarketData_10000004_SH, MaxRecordDate:20150303, Wind:6074
Date:20150305, table:MarketData_10000004_SH, MaxRecordDate:20150304, Wind:8448
Date:20150306, table:MarketData_10000004_SH, MaxRecordDate:20150305, Wind:6772
Date:20150309, table:MarketData_10000004_SH, MaxRecordDate:20150306, Wind:6874
Date:20150310, table:MarketData_10000004_SH, MaxRecordDate:20150309, Wind:7159
Date:20150311, table:MarketData_10000004_SH, MaxRecordDate:20150310, Wind:9153
Date:20150312, table:MarketData_10000004_SH, MaxRecordDate:20150311, Wind:9477
Date:20150313, table:MarketData_10000004_SH, MaxRecordDate:20150312, Wind:8133
Date:20150316, table:MarketData_10000004_SH, MaxRecordDate:20150313, Wind:6269
Date:20150317, table:MarketData_10000004_SH, MaxRecordDate:20150316, Wind:3003
Date:20150318, table:MarketData_10000004_SH, MaxRecordDate:20150317, Wind:6861
Date:20150319, table:MarketData_10000004_SH, MaxRecordDate:20150318, Wind:5379
Date:20150320, table:MarketData_10000004_SH, MaxRecordDate:20150319, Wind:8777
Date:20150323, table:MarketData_10000004_SH, MaxRecordDate:20150320, Wind:4204
Date:20150324, table:MarketData_10000004_SH, MaxRecordDate:20150323, Wind:6747
Date:20150325, table:MarketData_10000004_SH, MaxRecordDate:20150324, Wind:8496
Date:20150209, table:MarketData_10000005_SH, MaxRecordDate:0, Wind:4683
Date:20150210, table:MarketData_10000005_SH, MaxRecordDate:20150209, Wind:7805
Date:20150211, table:MarketData_10000005_SH, MaxRecordDate:20150210, Wind:6293
Date:20150212, table:MarketData_10000005_SH, MaxRecordDate:20150211, Wind:6898
Date:20150213, table:MarketData_10000005_SH, MaxRecordDate:20150212, Wind:6097
Date:20150216, table:MarketData_10000005_SH, MaxRecordDate:20150213, Wind:6266
Date:20150217, table:MarketData_10000005_SH, MaxRecordDate:20150216, Wind:5139
Date:20150225, table:MarketData_10000005_SH, MaxRecordDate:20150217, Wind:4408
Date:20150226, table:MarketData_10000005_SH, MaxRecordDate:20150225, Wind:5870
Date:20150227, table:MarketData_10000005_SH, MaxRecordDate:20150226, Wind:5401
Date:20150302, table:MarketData_10000005_SH, MaxRecordDate:20150227, Wind:6172
Date:20150303, table:MarketData_10000005_SH, MaxRecordDate:20150302, Wind:6058
Date:20150304, table:MarketData_10000005_SH, MaxRecordDate:20150303, Wind:6906
Date:20150305, table:MarketData_10000005_SH, MaxRecordDate:20150304, Wind:9053
Date:20150306, table:MarketData_10000005_SH, MaxRecordDate:20150305, Wind:7064
Date:20150309, table:MarketData_10000005_SH, MaxRecordDate:20150306, Wind:8881
Date:20150310, table:MarketData_10000005_SH, MaxRecordDate:20150309, Wind:8148
Date:20150311, table:MarketData_10000005_SH, MaxRecordDate:20150310, Wind:10085
Date:20150312, table:MarketData_10000005_SH, MaxRecordDate:20150311, Wind:9614
Date:20150313, table:MarketData_10000005_SH, MaxRecordDate:20150312, Wind:9210
Date:20150316, table:MarketData_10000005_SH, MaxRecordDate:20150313, Wind:6305
Date:20150317, table:MarketData_10000005_SH, MaxRecordDate:20150316, Wind:6390
Date:20150318, table:MarketData_10000005_SH, MaxRecordDate:20150317, Wind:6708
Date:20150319, table:MarketData_10000005_SH, MaxRecordDate:20150318, Wind:5677
Date:20150320, table:MarketData_10000005_SH, MaxRecordDate:20150319, Wind:8114
Date:20150323, table:MarketData_10000005_SH, MaxRecordDate:20150320, Wind:6323
Date:20150324, table:MarketData_10000005_SH, MaxRecordDate:20150323, Wind:6334
Date:20150325, table:MarketData_10000005_SH, MaxRecordDate:20150324, Wind:7924
Date:20150209, table:MarketData_10000006_SH, MaxRecordDate:0, Wind:4395
Date:20150210, table:MarketData_10000006_SH, MaxRecordDate:20150209, Wind:7031
Date:20150211, table:MarketData_10000006_SH, MaxRecordDate:20150210, Wind:6973
Date:20150212, table:MarketData_10000006_SH, MaxRecordDate:20150211, Wind:8960
Date:20150213, table:MarketData_10000006_SH, MaxRecordDate:20150212, Wind:11661
Date:20150216, table:MarketData_10000006_SH, MaxRecordDate:20150213, Wind:12821
Date:20150217, table:MarketData_10000006_SH, MaxRecordDate:20150216, Wind:9396
Date:20150225, table:MarketData_10000006_SH, MaxRecordDate:20150217, Wind:8321
Date:20150226, table:MarketData_10000006_SH, MaxRecordDate:20150225, Wind:10491
Date:20150227, table:MarketData_10000006_SH, MaxRecordDate:20150226, Wind:13779
Date:20150302, table:MarketData_10000006_SH, MaxRecordDate:20150227, Wind:13121
Date:20150303, table:MarketData_10000006_SH, MaxRecordDate:20150302, Wind:10854
Date:20150304, table:MarketData_10000006_SH, MaxRecordDate:20150303, Wind:10176
Date:20150305, table:MarketData_10000006_SH, MaxRecordDate:20150304, Wind:10115
Date:20150306, table:MarketData_10000006_SH, MaxRecordDate:20150305, Wind:12378
Date:20150309, table:MarketData_10000006_SH, MaxRecordDate:20150306, Wind:7753
Date:20150310, table:MarketData_10000006_SH, MaxRecordDate:20150309, Wind:4150
Date:20150311, table:MarketData_10000006_SH, MaxRecordDate:20150310, Wind:3233
Date:20150312, table:MarketData_10000006_SH, MaxRecordDate:20150311, Wind:3498
Date:20150313, table:MarketData_10000006_SH, MaxRecordDate:20150312, Wind:3055
Date:20150316, table:MarketData_10000006_SH, MaxRecordDate:20150313, Wind:2819
Date:20150317, table:MarketData_10000006_SH, MaxRecordDate:20150316, Wind:2076
Date:20150318, table:MarketData_10000006_SH, MaxRecordDate:20150317, Wind:536
Date:20150319, table:MarketData_10000006_SH, MaxRecordDate:20150318, Wind:682
Date:20150320, table:MarketData_10000006_SH, MaxRecordDate:20150319, Wind:2470
Date:20150323, table:MarketData_10000006_SH, MaxRecordDate:20150320, Wind:2605
Date:20150324, table:MarketData_10000006_SH, MaxRecordDate:20150323, Wind:2906
Date:20150325, table:MarketData_10000006_SH, MaxRecordDate:20150324, Wind:2513
Date:20150209, table:MarketData_10000007_SH, MaxRecordDate:0, Wind:4007
Date:20150210, table:MarketData_10000007_SH, MaxRecordDate:20150209, Wind:7608
Date:20150211, table:MarketData_10000007_SH, MaxRecordDate:20150210, Wind:7591
Date:20150212, table:MarketData_10000007_SH, MaxRecordDate:20150211, Wind:7073
Date:20150213, table:MarketData_10000007_SH, MaxRecordDate:20150212, Wind:8413
