Date:20150209, table:MarketData_10000001_SH, MaxRecordDate:20150227
Date:20150210, table:MarketData_10000001_SH, MaxRecordDate:20150227
Date:20150211, table:MarketData_10000001_SH, MaxRecordDate:20150227
Date:20150212, table:MarketData_10000001_SH, MaxRecordDate:20150227
Date:20150213, table:MarketData_10000001_SH, MaxRecordDate:20150227
Date:20150216, table:MarketData_10000001_SH, MaxRecordDate:20150227
Date:20150217, table:MarketData_10000001_SH, MaxRecordDate:20150227
Date:20150225, table:MarketData_10000001_SH, MaxRecordDate:20150227
Date:20150226, table:MarketData_10000001_SH, MaxRecordDate:20150227
Date:20150227, table:MarketData_10000001_SH, MaxRecordDate:20150227
Date:20150302, table:MarketData_10000001_SH, MaxRecordDate:20150325
Date:20150303, table:MarketData_10000001_SH, MaxRecordDate:20150325
Date:20150304, table:MarketData_10000001_SH, MaxRecordDate:20150325
Date:20150305, table:MarketData_10000001_SH, MaxRecordDate:20150325
Date:20150306, table:MarketData_10000001_SH, MaxRecordDate:20150325
Date:20150309, table:MarketData_10000001_SH, MaxRecordDate:20150325
Date:20150310, table:MarketData_10000001_SH, MaxRecordDate:20150325
Date:20150311, table:MarketData_10000001_SH, MaxRecordDate:20150325
Date:20150312, table:MarketData_10000001_SH, MaxRecordDate:20150325
Date:20150313, table:MarketData_10000001_SH, MaxRecordDate:20150325
Date:20150316, table:MarketData_10000001_SH, MaxRecordDate:20150325
Date:20150317, table:MarketData_10000001_SH, MaxRecordDate:20150325
Date:20150318, table:MarketData_10000001_SH, MaxRecordDate:20150325
Date:20150319, table:MarketData_10000001_SH, MaxRecordDate:20150325
Date:20150320, table:MarketData_10000001_SH, MaxRecordDate:20150325
Date:20150323, table:MarketData_10000001_SH, MaxRecordDate:20150325
Date:20150324, table:MarketData_10000001_SH, MaxRecordDate:20150325
Date:20150325, table:MarketData_10000001_SH, MaxRecordDate:20150325
Date:20150209, table:MarketData_10000002_SH, MaxRecordDate:20150227
Date:20150210, table:MarketData_10000002_SH, MaxRecordDate:20150227
Date:20150211, table:MarketData_10000002_SH, MaxRecordDate:20150227
Date:20150212, table:MarketData_10000002_SH, MaxRecordDate:20150227
Date:20150213, table:MarketData_10000002_SH, MaxRecordDate:20150227
Date:20150216, table:MarketData_10000002_SH, MaxRecordDate:20150227
Date:20150217, table:MarketData_10000002_SH, MaxRecordDate:20150227
Date:20150225, table:MarketData_10000002_SH, MaxRecordDate:20150227
Date:20150226, table:MarketData_10000002_SH, MaxRecordDate:20150227
Date:20150227, table:MarketData_10000002_SH, MaxRecordDate:20150227
Date:20150302, table:MarketData_10000002_SH, MaxRecordDate:20150325
Date:20150303, table:MarketData_10000002_SH, MaxRecordDate:20150325
Date:20150304, table:MarketData_10000002_SH, MaxRecordDate:20150325
Date:20150305, table:MarketData_10000002_SH, MaxRecordDate:20150325
Date:20150306, table:MarketData_10000002_SH, MaxRecordDate:20150325
Date:20150309, table:MarketData_10000002_SH, MaxRecordDate:20150325
Date:20150310, table:MarketData_10000002_SH, MaxRecordDate:20150325
Date:20150311, table:MarketData_10000002_SH, MaxRecordDate:20150325
Date:20150312, table:MarketData_10000002_SH, MaxRecordDate:20150325
Date:20150313, table:MarketData_10000002_SH, MaxRecordDate:20150325
Date:20150316, table:MarketData_10000002_SH, MaxRecordDate:20150325
Date:20150317, table:MarketData_10000002_SH, MaxRecordDate:20150325
Date:20150318, table:MarketData_10000002_SH, MaxRecordDate:20150325
Date:20150319, table:MarketData_10000002_SH, MaxRecordDate:20150325
Date:20150320, table:MarketData_10000002_SH, MaxRecordDate:20150325
Date:20150323, table:MarketData_10000002_SH, MaxRecordDate:20150325
Date:20150324, table:MarketData_10000002_SH, MaxRecordDate:20150325
Date:20150325, table:MarketData_10000002_SH, MaxRecordDate:20150325
Date:20150209, table:MarketData_10000003_SH, MaxRecordDate:20150227
Date:20150210, table:MarketData_10000003_SH, MaxRecordDate:20150227
Date:20150211, table:MarketData_10000003_SH, MaxRecordDate:20150227
Date:20150212, table:MarketData_10000003_SH, MaxRecordDate:20150227
Date:20150213, table:MarketData_10000003_SH, MaxRecordDate:20150227
Date:20150216, table:MarketData_10000003_SH, MaxRecordDate:20150227
Date:20150217, table:MarketData_10000003_SH, MaxRecordDate:20150227
Date:20150225, table:MarketData_10000003_SH, MaxRecordDate:20150227
Date:20150226, table:MarketData_10000003_SH, MaxRecordDate:20150227
Date:20150227, table:MarketData_10000003_SH, MaxRecordDate:20150227
Date:20150302, table:MarketData_10000003_SH, MaxRecordDate:20150325
Date:20150303, table:MarketData_10000003_SH, MaxRecordDate:20150325
Date:20150304, table:MarketData_10000003_SH, MaxRecordDate:20150325
Date:20150305, table:MarketData_10000003_SH, MaxRecordDate:20150325
Date:20150306, table:MarketData_10000003_SH, MaxRecordDate:20150325
Date:20150309, table:MarketData_10000003_SH, MaxRecordDate:20150325
Date:20150310, table:MarketData_10000003_SH, MaxRecordDate:20150325
Date:20150311, table:MarketData_10000003_SH, MaxRecordDate:20150325
Date:20150312, table:MarketData_10000003_SH, MaxRecordDate:20150325
Date:20150313, table:MarketData_10000003_SH, MaxRecordDate:20150325
Date:20150316, table:MarketData_10000003_SH, MaxRecordDate:20150325
Date:20150317, table:MarketData_10000003_SH, MaxRecordDate:20150325
